Name,Action,Description,Auto
Ablutophobia,Cleansing,fear of bathing or cleaning,
Acousticophobia,Small Arms|Special Arms,fear of noise,
Acrophobia,Space|Planes|Sports,fear of heights,
Aerophobia,Planes|Space,fear of aircraft or flying,
Agoraphobia,Space|Perspective,fear of open places,
Agyrophobia,Common Sense,fear of crossing streets,
Aichmophobia,Sword,fear of sharp or pointed objects such as a needle or knife,
Ailurophobia,Neku,fear of cats,
Algophobia,Conditioning,fear of pain,
Ancraophobia,Projectiles,fear of wind or drafts,
Androphobia,Male,fear of adult men,
Anthropophobia,Leadership,fear of people or the company of people - a form of social phobia,
Aquaphobia,Athletics,fear of water. Distinct from hydrophobia - a scientific property that makes chemicals averse to interaction with.,
Arachnophobia,Aracnidoids,fear of spiders,
Astraphobia,Energy Weapons,fear of thunder and lightning,
Autophobia,Idealism,fear of isolation,
Basophobia,Bargain|Haggling,fear associated with astasia-abasia (fear of walking/standing erect) and a fear of falling,
Bloodphobia,Medical,a DSM-IV subtype of specific phobias,
Carcinophobia,Surgery,fear of cancer,
Chemophobia,Chemistry,fear of chemicals,
Cherophobia,Adjustment,fear of happiness,
Chiroptophobia,Bat,fear of bats,
Chromophobia,Artistry,fear of colours,
Chronophobia,Physics,fear of time and time moving forward,
Cibophobia,Autoimmunization,aversion to food - synonymous with anorexia nervosa,
Claustrophobia,Armour,fear of having no escape and being closed in,
Coimetrophobia,Heavens,fear of cemeteries,
Coprophobia,Toxicology,fear of feces or defecation,
Coulrophobia,Distraction,fear of clowns,
Cyberphobia,Programming,fear or aversion to computers and the Internet or of learning new technologies,
Cynophobia,Tactics,fear of dogs,
Decidophobia,Trusting,fear of making decisions,
Demonophobia,Seduction,fear of demons,
Dentophobia,Evacuation|Axe,fear of dentists and dental procedures,
Dysmorphophobia,Genetics,a phobic obsession with a real or imaginary body defect,
Eisoptrophobia,Worth,fear of mirrors or seeing one's reflection in a mirror,
Eurotophobia,Vagina,aversion to female genitals,
Emetophobia,Evacuation,fear of vomiting,
Enochlophobia,Haggling,fear of crowds,
Ephebiphobia,Precognition,fear of youth; exaggerated and sensational characterization of young people,
